departamento;distrito;barrio
GUAIRA;GENERAL EUGENIO A. GARAY;POTRERO
ITAPUA;OBLIGADO;COLONIA MORENA'I
;;
ITAPUA;JESUS;COLONIA GUARANI
ALTO PARANA;SANTA FE DEL PARANA;ASENT. NIÑO JESUS
;;
ALTO PARANA;MBARACAYU;GLEVA 5 MBARACAYU
ALTO PARANA;MBARACAYU;GENERAL DIAZ
ALTO PARANA;SANTA RITA;VILLA NUEVA
CAAGUAZU;CORONEL OVIEDO;COLONIA MONTANARO
ALTO PARANA;YGUAZU;ASENT. SANTO DOMINGO
ALTO PARANA;ITAKYRY;ASENT. ACARAY POTY
BOQUERON;MARISCAL ESTIGARRIBIA;VIRGEN DEL ROSARIO
CAAGUAZU;SAN JOAQUIN;NOGUEIRA
ALTO PARANA;HERNANDARIAS;ACARAYMI
BOQUERON;MARISCAL ESTIGARRIBIA;ZONA MBUTURETA
ALTO PARANA;HERNANDARIAS;MANDU'ARA
;;
ALTO PARANA;HERNANDARIAS;COLONIA LA FORTUNA
AMAMBAY;CAPITAN BADO;ASENT. MARIA AUXILIADORA
ALTO PARAGUAY;CARMELO PERALTA;ZONA CRUCE A CARMELO PERALTA
;;
AMAMBAY;CAPITAN BADO;KARAPA'I
AMAMBAY;ZANJA PYTA;CERRO 21
CAAGUAZU;MCAL. FRANCISCO SOLANO LOPEZ;SANTA ANA
;;
CAAGUAZU;MCAL. FRANCISCO SOLANO LOPEZ;CAMPO FLORIDO
CAAGUAZU;MCAL. FRANCISCO SOLANO LOPEZ;URBANO
;;
CAAGUAZU;MCAL. FRANCISCO SOLANO LOPEZ;SANTA TERESA
;;
CAAGUAZU;RAUL ARSENIO OVIEDO;TRES PALMAS
CAAGUAZU;RAUL ARSENIO OVIEDO;CASILLA 2 - SUB URBANO
CENTRAL;LIMPIO;ASENT.  LA VICTORIA MONTAÑA ALTA
CAAGUAZU;YHU;KO'E POTY
CAAGUAZU;REPATRIACION;IRRAZABAL
CAAGUAZU;REPATRIACION;1RA LINEA PLANTA URBANA
;;
;;
CAAGUAZU;DR. JUAN MANUEL FRUTOS;SANTA ROSA
CAAGUAZU;DR. JUAN MANUEL FRUTOS;PUENTE SECO
CAAGUAZU;CAAGUAZU;ASENT. CONSTITUCION
CAAGUAZU;DR. JUAN MANUEL FRUTOS;MARIA AUXILIADORA
;;
;;
CAAGUAZU;CAAGUAZU;FINANGRAY
CAAGUAZU;SANTA ROSA DEL MBUTUY;SAN AGUSTIN
CAAGUAZU;CARAYAO;COLONIA NICOLAS BO
CAAGUAZU;CAAGUAZU;TORO BLANCO
CAAGUAZU;CAAGUAZU;EMPALADO MI
CAAGUAZU;CORONEL OVIEDO;YKUA PORA
CAAGUAZU;CAAGUAZU;JOYVY
CAAGUAZU;CORONEL OVIEDO;ARROYO MOROTI
;;
;;
CAAGUAZU;CORONEL OVIEDO;AGUAPETY
CAAZAPA;3 DE MAYO;KUARAHY RESE
CAAZAPA;3 DE MAYO;BUENA VISTA
;;
CAAZAPA;TAVAI;ORO VERDE
CAAZAPA;MACIEL;SANJA PYTA
